Date,Open,High,Low,Close,Volume,BBANDS_upperband,BBANDS_middleband,BBANDS_lowerband,MA_SHORT,MA_LONG,MIDPOINT,MACD_macd,MACD_macdsignal,MACD_macdhist,RSI,STOCH_slowk,STOCH_slowd,STOCHRSI_fastk,STOCHRSI_fastd,OBV,ATR,STDDEV,_CLOSE_PCT_CHANGE,ma_diff,GCDC_times,BUYSELL,SimulateAsset,Profit,Coin,JPY,Songiri,GachihoAsset,GachihoProfit
2021-12-02 09:00:00+09:00,1713.751,1713.94,1646.0,1671.581,82501.2906,,,,,,,,,,,,,,,82501.2906,,,-0.0029814977931275077,,1,0,267158.1,0.0,100,100000,False,267158.1,0.0
2021-12-02 10:00:00+09:00,1670.0,1690.0,1669.413,1679.772,32362.052,,,,,,,,,,,,,,,114863.34259999999,,,-0.012545819396380331,,1,0,267977.19999999995,819.0999999999767,100,100000,False,267977.19999999995,819.0999999999767
2021-12-02 11:00:00+09:00,1679.886,1680.054,1661.073,1665.338,19264.8379,,,,,,,,,,,,,,,95598.50469999999,,,0.01400947306098288,,1,0,266533.8,-624.2999999999884,100,100000,False,266533.8,-624.2999999999884
2021-12-02 12:00:00+09:00,1670.0,1672.798,1623.909,1647.499,53520.1188,,,,,,,,,,,,,,,42078.385899999994,,,0.03281730656334392,,1,1,264749.9,-2408.1999999999534,100,99600,False,264749.9,-2408.1999999999534
2021-12-02 13:00:00+09:00,1645.6,1662.76,1640.875,1655.0,13827.1711,35.01910117493321,12.020499999999629,-10.978101174933954,12.020499999999629,,,,,,,,,,,55905.55699999999,,11.499300587466765,0.023499729766088384,,1,0,265501.82118471694,-1656.2788152830326,100,99600,False,265500.0,-1658.0999999999767
2021-12-02 14:00:00+09:00,1653.61,1666.969,1652.42,1666.612,20778.8609,25.13100851080003,3.149699999999484,-18.83160851080106,3.149699999999484,,,,,,,,,,,76684.4179,,10.990654255400242,0.01664887726136377,,1,0,266665.8404884009,-492.25951159908436,100,99600,False,266661.2,-496.8999999999651
2021-12-02 15:00:00+09:00,1666.268,1666.268,1646.966,1658.959,11099.9019,16.089736782515047,2.064599999999473,-11.960536782516101,2.064599999999473,,,,,,,,,,,65584.516,,7.012568391257756,0.010993799928460724,,1,0,265898.6823992609,-1259.4176007390488,100,99600,False,265895.9,-1262.1999999999534
2021-12-02 16:00:00+09:00,1659.931,1689.0,1659.931,1689.0,22000.1824,17.356952911202825,-11.051500000000487,-39.4599529112038,-11.051500000000487,,,,,,,,,,,87584.69840000001,,14.204226455601647,0.00449128266789256,,1,0,268910.07612144225,1751.976121442276,100,99600,False,268900.0,1741.9000000000233
2021-12-02 17:00:00+09:00,1689.986,1705.71,1678.92,1703.4,24682.5644,19.474993921458918,-17.72080000000051,-54.916593921459935,-17.72080000000051,,,,,,,86.28825076556996,71.94206166482807,,,112267.26280000001,,18.597896960729752,-0.010463523595575008,,1,0,270353.5723299377,3195.4723299377365,100,99600,False,270340.0,3181.9000000000233
2021-12-02 18:00:00+09:00,1703.0,1706.6,1683.812,1694.828,35116.0032,21.266970642797787,-12.646200000000363,-46.55937064279851,-12.646200000000363,,,,,,,92.23223101499086,84.73350181900565,,,77151.25960000002,,16.95658532139904,0.004272369426003175,,1,0,269494.2911147139,2336.1911147139035,100,99600,False,269482.8,2324.7000000000116
