Date,Open,High,Low,Close,Volume,ma_diff,GCDC_times,rsi
2021-12-02 09:00:00+09:00,1713.751,1713.94,1646.0,1671.581,82501.2906,,1,
2021-12-02 10:00:00+09:00,1670.0,1690.0,1669.413,1679.772,32362.052,,1,
2021-12-02 11:00:00+09:00,1679.886,1680.054,1661.073,1665.338,19264.8379,,1,
2021-12-02 12:00:00+09:00,1670.0,1672.798,1623.909,1647.499,53520.1188,,1,
2021-12-02 13:00:00+09:00,1645.6,1662.76,1640.875,1655.0,13827.1711,,1,
2021-12-02 14:00:00+09:00,1653.61,1666.969,1652.42,1666.612,20778.8609,,1,
2021-12-02 15:00:00+09:00,1666.268,1666.268,1646.966,1658.959,11099.9019,,1,
2021-12-02 16:00:00+09:00,1659.931,1689.0,1659.931,1689.0,22000.1824,,1,
2021-12-02 17:00:00+09:00,1689.986,1705.71,1678.92,1703.4,24682.5644,,1,
2021-12-02 18:00:00+09:00,1703.0,1706.6,1683.812,1694.828,35116.0032,,1,
2021-12-02 19:00:00+09:00,1693.633,1700.0,1679.888,1694.829,19024.2056,,1,
2021-12-02 20:00:00+09:00,1694.68,1695.789,1669.17,1677.4,21358.8298,,1,
2021-12-02 21:00:00+09:00,1676.803,1696.902,1661.049,1696.62,11826.4722,,1,
2021-12-02 22:00:00+09:00,1695.923,1696.548,1669.324,1685.761,14576.3,,1,43.923199823701125
2021-12-02 23:00:00+09:00,1685.125,1704.127,1674.939,1702.1,9430.2539,,1,58.481338614971634
2021-12-03 00:00:00+09:00,1703.058,1710.73,1669.772,1684.954,11901.85,,1,51.19358643237832
2021-12-03 01:00:00+09:00,1684.572,1686.967,1660.907,1678.495,7091.2409,,1,53.44662766653847
2021-12-03 02:00:00+09:00,1678.427,1719.638,1678.08,1716.879,7271.2548,,1,67.8048640064482
2021-12-03 03:00:00+09:00,1711.979,1712.242,1689.287,1699.508,3404.1863,,1,62.37588652482264
2021-12-03 04:00:00+09:00,1701.784,1703.862,1677.679,1680.281,2278.4224,,1,54.05566338334811
2021-12-03 05:00:00+09:00,1677.702,1692.95,1676.956,1692.95,3648.8515,,1,58.862419935070506
2021-12-03 06:00:00+09:00,1693.055,1698.259,1689.083,1697.002,2329.9119,,1,53.766924040272386
2021-12-03 07:00:00+09:00,1696.331,1698.259,1690.201,1693.161,18092.4667,,1,49.66142885332378
2021-12-03 08:00:00+09:00,1692.982,1693.47,1670.012,1673.665,17472.9631,,1,46.94456579896805
2021-12-03 09:00:00+09:00,1676.133,1677.163,1654.0,1660.349,26408.7154,,1,43.259721401512415
2021-12-03 10:00:00+09:00,1658.897,1661.199,1658.897,1661.199,227.075,,1,47.578554952810364
2021-12-03 11:00:00+09:00,1661.199,1661.199,1661.199,1661.199,0.0,,1,41.91769475565626
2021-12-03 12:00:00+09:00,1659.918,1660.508,1645.2,1645.255,16753.5975,,1,40.91419210373752
2021-12-03 13:00:00+09:00,1645.254,1655.812,1643.72,1652.6,13780.1789,,1,37.72479594582477
2021-12-03 14:00:00+09:00,1652.618,1670.426,1646.819,1667.496,10780.7731,,1,46.91364368170461
2021-12-03 15:00:00+09:00,1670.516,1678.902,1664.533,1673.4,9667.2744,,1,49.461809089058924
2021-12-03 16:00:00+09:00,1673.323,1673.323,1660.002,1660.979,4241.079,,1,31.95252884674727
2021-12-03 17:00:00+09:00,1663.236,1663.529,1657.1,1657.1,6660.8855,,1,33.40333424119501
2021-12-03 18:00:00+09:00,1657.674,1664.028,1652.661,1660.02,11083.1936,,1,40.66879906949708
2021-12-03 19:00:00+09:00,1660.831,1690.713,1660.831,1674.8,28860.431,,1,40.031573820600364
2021-12-03 20:00:00+09:00,1677.679,1689.175,1675.348,1681.565,12412.284,,1,40.000840159630506
2021-12-03 21:00:00+09:00,1683.99,1686.65,1668.149,1669.747,4998.1126,,1,36.596258205353024
2021-12-03 22:00:00+09:00,1669.301,1688.453,1669.109,1677.743,15602.9456,,1,47.01525712320622
2021-12-03 23:00:00+09:00,1676.24,1681.878,1645.452,1645.452,10769.1145,,1,41.759854574713145
2021-12-04 00:00:00+09:00,1648.16,1656.801,1631.96,1633.287,13363.9634,,1,36.61562146623259
2021-12-04 01:00:00+09:00,1633.264,1633.264,1597.643,1604.501,53570.0591,,1,30.616708722324518
2021-12-04 02:00:00+09:00,1605.065,1631.238,1593.941,1622.0,18511.9655,,1,39.74852811345477
2021-12-04 03:00:00+09:00,1620.0,1633.942,1609.905,1620.337,8284.7319,,1,37.276378026506826
2021-12-04 04:00:00+09:00,1622.481,1622.971,1569.614,1580.213,32358.196,,1,24.619350802667782
2021-12-04 05:00:00+09:00,1577.389,1578.245,1500.0,1562.108,63736.1745,,1,21.800855605832524
2021-12-04 06:00:00+09:00,1560.046,1582.973,1560.046,1576.117,19211.0058,,1,28.9197435825658
2021-12-04 07:00:00+09:00,1573.0,1573.0,1544.0,1547.503,36688.5347,,1,26.523861890722642
2021-12-04 08:00:00+09:00,1546.343,1564.906,1539.096,1561.159,31904.3159,,1,30.245887987520746
2021-12-04 09:00:00+09:00,1558.502,1562.861,1461.994,1469.916,90111.4791,,1,18.855872762527
2021-12-04 10:00:00+09:00,1469.3,1488.225,1446.2,1485.0,72288.7713,-124.3937800000001,1,21.738123872519523
2021-12-04 11:00:00+09:00,1485.0,1485.888,1455.567,1483.7,16705.325,-139.11955999999964,2,22.618306497276762
2021-12-04 12:00:00+09:00,1483.354,1483.354,1399.23,1400.0,54664.8911,-163.02471999999966,3,16.18449498059907
2021-12-04 13:00:00+09:00,1400.0,1439.015,1278.0,1324.377,127273.0324,-203.56190000000015,4,14.533094828449435
2021-12-04 14:00:00+09:00,1324.27,1338.306,1066.578,1241.008,391073.8128,-241.2136800000003,5,12.575793679708056
2021-12-04 15:00:00+09:00,1240.175,1255.0,1197.956,1225.969,196879.4654,-284.4392599999999,6,12.94694628940303
2021-12-04 16:00:00+09:00,1225.864,1228.001,1180.87,1223.389,93958.5943,-327.63699999999994,7,9.800825438200732
2021-12-04 17:00:00+09:00,1224.022,1253.273,1216.451,1237.609,70150.0421,-351.6882000000003,8,12.229841512440387
2021-12-04 18:00:00+09:00,1237.689,1257.216,1223.809,1238.358,45781.2338,-359.87915999999996,9,13.507849218630284
2021-12-04 19:00:00+09:00,1238.358,1247.273,1195.785,1225.809,52628.3655,-353.36714000000006,10,13.590279096259707
2021-12-04 20:00:00+09:00,1224.117,1224.117,1151.0,1175.9,87940.2435,-353.00238000000013,11,9.330590758188634
2021-12-04 21:00:00+09:00,1177.464,1213.203,1177.464,1186.822,48394.3075,-350.1556400000002,12,11.673445445566301
2021-12-04 22:00:00+09:00,1186.811,1209.14,1175.965,1209.14,52963.7342,-346.4842400000002,13,13.081714291777658
2021-12-04 23:00:00+09:00,1209.14,1250.0,1202.403,1247.618,62072.8043,-335.6522,14,23.775667466938316
2021-12-05 00:00:00+09:00,1247.619,1280.165,1245.0,1271.198,80573.4225,-318.2831399999998,15,25.175646757703063
2021-12-05 01:00:00+09:00,1267.6,1273.862,1232.677,1237.058,31197.1905,-296.7507000000003,16,23.569052960534933
2021-12-05 02:00:00+09:00,1237.548,1263.557,1235.279,1261.079,9406.28,-273.42179999999985,17,33.01439489966242
2021-12-05 03:00:00+09:00,1260.0,1275.0,1258.479,1270.728,8819.4414,-252.94885999999997,18,42.6550928008156
