Date,Open,High,Low,Close,Volume,ma_diff,GCDC_times,rsi,BUYSELL,SimulateAsset,Profit,Coin
2021-12-02 09:00:00+09:00,1713.751,1713.94,1646.0,1671.581,82501.2906,,1,,0,1771581.0,0.0,1000.0
2021-12-02 10:00:00+09:00,1670.0,1690.0,1669.413,1679.772,32362.052,,1,,0,1779772.0,8191.0,1000.0
2021-12-02 11:00:00+09:00,1679.886,1680.054,1661.073,1665.338,19264.8379,,1,,0,1765338.0,-6243.0,1000.0
2021-12-02 12:00:00+09:00,1670.0,1672.798,1623.909,1647.499,53520.1188,,1,,0,1747499.0,-24082.0,1000.0
2021-12-02 13:00:00+09:00,1645.6,1662.76,1640.875,1655.0,13827.1711,,1,,0,1755000.0,-16581.0,1000.0
2021-12-02 14:00:00+09:00,1653.61,1666.969,1652.42,1666.612,20778.8609,,1,,0,1766612.0,-4969.0,1000.0
2021-12-02 15:00:00+09:00,1666.268,1666.268,1646.966,1658.959,11099.9019,,1,,0,1758959.0,-12622.0,1000.0
2021-12-02 16:00:00+09:00,1659.931,1689.0,1659.931,1689.0,22000.1824,,1,,0,1789000.0,17419.0,1000.0
2021-12-02 17:00:00+09:00,1689.986,1705.71,1678.92,1703.4,24682.5644,,1,,0,1803400.0,31819.0,1000.0
2021-12-02 18:00:00+09:00,1703.0,1706.6,1683.812,1694.828,35116.0032,,1,,0,1794828.0,23247.0,1000.0
2021-12-02 19:00:00+09:00,1693.633,1700.0,1679.888,1694.829,19024.2056,,1,,0,1794829.0,23248.0,1000.0
2021-12-02 20:00:00+09:00,1694.68,1695.789,1669.17,1677.4,21358.8298,,1,,0,1777400.0,5819.0,1000.0
2021-12-02 21:00:00+09:00,1676.803,1696.902,1661.049,1696.62,11826.4722,,1,,0,1796620.0,25039.0,1000.0
2021-12-02 22:00:00+09:00,1695.923,1696.548,1669.324,1685.761,14576.3,,1,43.923199823701125,0,1785761.0,14180.0,1000.0
2021-12-02 23:00:00+09:00,1685.125,1704.127,1674.939,1702.1,9430.2539,,1,58.481338614971634,0,1802100.0,30519.0,1000.0
2021-12-03 00:00:00+09:00,1703.058,1710.73,1669.772,1684.954,11901.85,,1,51.19358643237832,0,1784954.0,13373.0,1000.0
2021-12-03 01:00:00+09:00,1684.572,1686.967,1660.907,1678.495,7091.2409,,1,53.44662766653847,0,1778495.0,6914.0,1000.0
2021-12-03 02:00:00+09:00,1678.427,1719.638,1678.08,1716.879,7271.2548,,1,67.8048640064482,0,1816879.0,45298.0,1000.0
2021-12-03 03:00:00+09:00,1711.979,1712.242,1689.287,1699.508,3404.1863,,1,62.37588652482264,0,1799508.0,27927.0,1000.0
2021-12-03 04:00:00+09:00,1701.784,1703.862,1677.679,1680.281,2278.4224,,1,54.05566338334811,0,1780281.0,8700.0,1000.0
2021-12-03 05:00:00+09:00,1677.702,1692.95,1676.956,1692.95,3648.8515,,1,58.862419935070506,0,1792950.0,21369.0,1000.0
2021-12-03 06:00:00+09:00,1693.055,1698.259,1689.083,1697.002,2329.9119,,1,53.766924040272386,0,1797002.0,25421.0,1000.0
2021-12-03 07:00:00+09:00,1696.331,1698.259,1690.201,1693.161,18092.4667,,1,49.66142885332378,0,1793161.0,21580.0,1000.0
2021-12-03 08:00:00+09:00,1692.982,1693.47,1670.012,1673.665,17472.9631,,1,46.94456579896805,0,1773665.0,2084.0,1000.0
2021-12-03 09:00:00+09:00,1676.133,1677.163,1654.0,1660.349,26408.7154,,1,43.259721401512415,0,1760349.0,-11232.0,1000.0
2021-12-03 10:00:00+09:00,1658.897,1661.199,1658.897,1661.199,227.075,,1,47.578554952810364,0,1761199.0,-10382.0,1000.0
2021-12-03 11:00:00+09:00,1661.199,1661.199,1661.199,1661.199,0.0,,1,41.91769475565626,0,1761199.0,-10382.0,1000.0
2021-12-03 12:00:00+09:00,1659.918,1660.508,1645.2,1645.255,16753.5975,,1,40.91419210373752,0,1745255.0,-26326.0,1000.0
2021-12-03 13:00:00+09:00,1645.254,1655.812,1643.72,1652.6,13780.1789,,1,37.72479594582477,0,1752600.0,-18981.0,1000.0
2021-12-03 14:00:00+09:00,1652.618,1670.426,1646.819,1667.496,10780.7731,,1,46.91364368170461,0,1767496.0,-4085.0,1000.0
2021-12-03 15:00:00+09:00,1670.516,1678.902,1664.533,1673.4,9667.2744,,1,49.461809089058924,0,1773400.0,1819.0,1000.0
2021-12-03 16:00:00+09:00,1673.323,1673.323,1660.002,1660.979,4241.079,,1,31.95252884674727,0,1760979.0,-10602.0,1000.0
2021-12-03 17:00:00+09:00,1663.236,1663.529,1657.1,1657.1,6660.8855,,1,33.40333424119501,0,1757100.0,-14481.0,1000.0
